zao,zhong,wan,times,label
0.0,15.3,12.9,10,0
6.17,6.5,8.5,8,0
6.42,0.0,11.0,7,0
7.03,0.0,18.5,8,0
7.5,9.0,10.0,10,0
7.94,0.0,0.0,7,0
8.11,0.0,9.0,8,0
7.28,10.0,12.45,8,0
6.35,11.8,15.0,8,0
7.06,12.0,7.5,10,0
7.17,6.0,11.5,10,0
6.14,16.0,13.0,10,0
6.77,0.0,0.0,7,0
6.98,6.75,9.0,8,0
6.45,0.0,5.5,9,0
5.47,9.33,18.25,8,0
6.03,20.0,83.0,8,0
8.04,4.0,14.0,9,0
8.26,0.0,32.33,10,0
7.49,16.0,11.0,9,0
5.63,17.83,15.0,13,0
8.27,14.0,23.0,9,0
16.17,18.83,8.25,11,0
13.83,13.0,15.0,10,0
14.0,0.0,0.0,7,0
10.0,14.0,9.75,14,0
10.57,13.37,10.0,11,0
20.15,6.83,8.36,11,0
13.88,13.93,15.66,13,0
10.2,11.2,9.3,15,0
10.0,10.02,6.31,14,0
2.0,10.72,10.57,14,0
0.0,10.43,13.33,13,0
4.0,21.75,12.2,10,0
18.5,14.25,13.4,10,0
9.0,7.5,11.2,12,0
9.2,7.85,8.0,10,0
2.75,9.19,12.35,9,0
10.53,9.5,9.75,11,0
10.54,9.88,8.9,12,0
10.05,5.77,10.0,8,0
8.4,9.0,6.23,9,0
12.84,11.0,12.0,7,0
13.47,10.5,8.3,9,0
7.57,11.5,0.0,8,0
12.25,6.5,13.5,10,0
12.73,15.5,0.0,7,0
11.2,11.0,0.0,10,0
11.53,9.0,11.0,9,0
13.56,10.57,11.2,9,0
10.14,14.12,4.5,11,0
9.92,7.0,11.1,10,0
7.2,8.67,12.73,11,0
7.33,13.23,9.5,16,0
9.0,23.57,12.17,12,0
6.93,12.93,7.75,15,0
5.21,12.0,10.5,11,0
7.6,16.55,9.26,13,0
12.09,11.52,10.67,11,0
7.5,25.67,9.8,13,0
6.82,13.58,11.45,13,0
10.92,10.19,8.0,16,0
5.42,14.17,8.88,13,0
6.33,15.44,17.5,14,0
5.12,13.7,10.73,12,0
0.0,12.0,12.5,8,0
11.42,13.75,10.49,11,0
11.9,12.3,10.0,10,0
19.1,23.67,9.89,10,0
6.0,20.24,15.67,10,0
13.0,11.62,8.5,9,0
11.17,18.7,12.9,9,0
8.3,13.83,15.83,12,0
7.52,15.38,0.0,9,0
7.0,0.0,6.0,8,0
4.83,13.0,12.4,8,0
11.5,15.5,6.5,7,0
5.5,12.83,8.0,14,0
10.6,15.37,8.77,11,0
14.0,12.37,8.2,8,0
6.25,17.36,9.35,11,0
5.42,17.04,6.0,12,0
5.8,8.83,3.5,9,0
8.07,20.0,9.5,11,0
5.7,26.0,17.01,11,0
9.93,13.17,15.17,10,0
7.75,8.05,11.48,10,0
5.5,22.05,10.24,14,0
6.0,13.67,11.94,13,0
9.98,14.76,15.14,14,0
6.75,10.0,11.0,12,0
7.3,14.6,14.88,14,0
9.17,17.0,9.75,9,0
31.25,11.84,0.0,7,0
9.35,14.92,11.12,12,0
7.7,12.6,16.04,14,0
6.6,13.76,13.37,18,0
6.42,13.1,14.45,14,0
3.0,10.83,12.42,15,0
2.25,10.0,8.69,17,0
2.7,8.88,8.63,14,0
5.35,7.0,9.5,8,0
2.23,11.93,12.8,10,0
3.0,13.4,38.0,7,0
14.3,18.32,9.05,9,0
4.17,14.53,7.2,10,0
11.69,22.8,20.17,10,0
9.85,13.65,10.43,11,0
11.98,15.0,9.5,13,0
17.0,14.75,12.77,11,0
6.62,13.6,10.82,13,0
10.5,14.0,13.6,8,0
0.0,22.33,15.95,7,0
21.5,14.65,15.8,9,0
4.25,13.9,9.83,9,0
16.77,18.7,3.5,7,0
2.5,17.47,10.0,9,0
8.33,19.2,11.4,10,0
5.0,16.76,11.5,10,0
1.5,16.9,9.47,9,0
0.0,15.6,11.7,8,0
6.0,17.67,17.0,7,0
5.0,10.2,10.12,10,0
3.5,11.0,6.17,8,0
0.0,8.7,8.67,10,0
3.55,10.7,7.4,10,0
3.17,12.85,7.0,11,0
7.45,9.5,8.5,14,0
6.48,11.83,7.62,13,0
4.5,9.9,9.23,9,0
9.83,11.0,8.0,10,0
7.05,12.78,4.67,10,0
5.0,12.92,6.67,13,0
3.5,10.0,4.0,9,0
10.0,14.0,53.5,9,0
8.0,10.4,8.25,9,0
3.5,11.17,10.0,8,0
0.0,14.01,4.5,9,0
0.0,14.8,8.75,7,0
9.5,15.25,11.5,8,0
2.0,13.0,8.25,9,0
3.75,11.12,7.12,10,0
4.75,16.67,8.25,9,0
3.5,13.13,11.62,11,0
4.33,12.0,10.5,9,0
5.33,10.0,8.83,12,0
5.4,14.3,12.83,13,0
4.7,15.0,11.63,9,0
4.75,10.96,20.83,10,0
5.25,10.5,13.67,7,0
7.3,20.7,12.5,11,0
5.0,12.25,11.5,16,0
5.42,13.13,13.88,16,0
5.0,9.33,11.62,12,0
0.0,17.8,14.25,8,0
5.7,26.24,22.0,10,0
5.0,16.06,12.17,12,0
8.43,15.6,10.75,15,0
0.0,13.82,13.7,9,0
7.5,11.66,13.83,12,0
12.25,18.92,0.0,9,0
6.5,14.3,13.17,10,0
8.5,15.9,19.5,8,0
11.25,13.5,16.88,12,0
9.5,15.27,15.16,9,0
6.0,15.92,15.3,12,0
9.0,12.52,12.43,13,0
11.25,18.22,15.76,12,0
7.88,16.27,13.57,13,0
7.0,12.17,15.06,9,0
7.62,13.57,15.15,10,0
8.5,21.0,16.25,10,0
8.0,14.01,18.5,12,0
8.25,13.75,13.77,13,0
0.0,11.76,12.6,10,0
6.83,14.92,10.33,12,0
9.62,15.83,14.5,11,0
10.5,13.0,13.25,11,0
7.6,12.02,12.0,12,0
4.67,18.0,10.67,7,0
7.83,11.5,10.5,9,0
7.25,14.0,10.12,14,0
6.43,13.5,14.75,16,0
7.93,10.0,13.0,14,0
7.75,12.45,13.0,11,0
6.75,16.15,10.83,11,0
9.29,12.17,11.72,18,0
9.0,14.68,11.65,12,0
8.7,12.7,10.5,9,0
10.2,16.37,30.0,12,0
10.5,28.12,0.0,11,0
9.86,32.5,8.0,9,0
14.17,20.77,0.0,9,0
8.2,20.57,13.83,11,0
6.75,18.43,14.25,10,0
10.0,13.5,14.0,9,0
7.0,12.5,12.25,8,0
8.12,15.57,13.5,10,0
8.71,19.2,15.0,13,0
7.83,15.75,0.0,12,0
7.83,17.55,15.0,13,0
5.75,11.62,8.38,14,0
4.5,14.68,8.97,14,0
7.95,14.96,9.62,14,0
5.72,20.63,12.77,18,0
4.16,13.62,8.9,13,0
4.0,9.5,3.5,8,0
3.75,10.0,7.0,8,0
3.5,9.0,8.0,10,0
4.5,10.0,7.0,10,0
3.38,9.33,6.0,12,0
3.5,10.6,3.75,12,0
4.2,8.83,4.67,14,0
4.12,9.17,3.0,11,0
3.7,9.71,4.5,16,0
3.31,10.0,3.67,16,0
0.0,13.8,6.83,8,0
4.17,8.25,4.75,14,0
4.88,8.67,4.7,14,0
4.67,9.86,4.04,15,0
3.33,10.14,4.35,12,0
3.17,10.5,3.0,14,0
3.5,9.79,5.12,15,0
3.92,9.42,4.62,16,0
3.79,9.0,3.17,15,0
4.29,7.97,7.0,19,0
4.63,7.93,7.5,17,0
4.0,10.08,9.0,14,0
4.0,9.86,7.67,19,0
4.0,10.5,9.75,13,0
4.67,10.07,6.23,13,0
4.17,10.25,7.0,13,0
3.75,10.0,7.0,12,0
4.21,10.08,8.0,16,0
4.0,10.0,7.17,17,0
4.0,9.75,6.67,18,0
4.0,10.29,7.0,13,0
4.0,9.33,7.0,19,0
3.83,9.83,6.8,17,0
4.0,11.0,6.8,15,0
3.67,10.67,6.58,16,0
3.43,10.92,6.1,18,0
3.07,10.83,7.38,17,0
3.07,10.64,6.1,18,0
3.79,11.0,7.47,17,0
3.43,11.5,5.4,16,0
3.7,12.67,6.47,15,0
4.0,12.0,8.0,14,0
4.0,12.15,8.67,18,0
3.92,11.69,9.8,18,0
3.38,12.14,7.25,15,0
3.0,13.0,7.33,17,0
3.67,13.5,8.62,16,0
3.0,11.71,7.08,17,0
3.0,10.6,8.6,16,0
3.42,12.6,7.38,17,0
3.0,11.8,7.22,15,0
3.0,12.64,8.1,16,0
3.0,13.14,8.07,13,0
4.0,11.14,10.73,13,0
3.67,9.64,8.8,15,0
4.0,11.93,11.3,11,0
5.17,10.67,10.45,13,0
3.5,12.0,9.33,12,0
8.25,12.67,10.0,10,0
0.0,12.21,13.0,8,0
0.0,13.64,14.0,9,0
0.0,13.29,7.65,9,0
0.0,12.79,11.25,11,0
0.0,13.5,10.1,12,0
0.0,13.3,10.65,10,0
3.5,14.21,11.15,12,0
5.5,16.9,13.9,7,0
4.5,14.28,14.8,8,0
0.0,12.25,24.5,7,0
13.85,11.56,8.73,10,0
9.0,12.74,12.2,11,0
26.0,17.02,13.0,7,0
21.52,18.0,0.0,7,0
17.15,28.17,14.08,10,0
5.0,20.15,7.35,9,0
9.5,18.67,6.2,13,0
26.2,15.44,13.33,9,0
22.7,24.07,32.55,8,0
0.0,25.66,21.05,9,0
20.08,8.0,0.0,7,0
5.0,7.83,9.75,7,0
2.75,11.33,9.75,7,0
20.0,16.67,13.93,7,0
0.0,9.5,17.12,8,0
0.0,11.75,14.03,7,0
5.0,16.33,14.6,10,0
10.0,23.08,15.78,13,0
10.5,18.08,25.67,14,0
0.0,20.22,15.36,12,0
8.0,15.43,17.77,13,0
5.5,10.07,15.33,11,0
0.0,8.14,9.75,11,0
13.5,14.12,8.86,10,0
4.0,7.97,9.22,16,0
6.0,17.97,18.0,12,0
7.57,24.04,13.0,10,0
26.5,17.4,18.6,9,0
8.91,9.04,6.7,16,0
3.76,8.23,6.64,21,1
3.29,9.26,6.75,20,0
3.0,11.38,6.58,15,0
5.6,0.0,11.0,7,0
6.08,15.0,0.0,7,0
4.36,8.0,0.0,8,0
6.28,14.0,13.5,10,0
3.43,9.0,0.0,9,0
4.5,13.0,15.25,9,0
4.9,8.0,17.0,9,0
6.33,9.33,13.0,10,0
8.4,11.25,11.8,12,0
4.2,15.1,10.55,10,0
7.57,12.27,14.0,14,0
6.79,7.0,12.83,11,0
7.74,10.5,11.43,11,0
6.34,11.0,12.13,13,0
5.14,12.95,17.52,15,0
5.67,11.69,14.0,10,0
6.97,7.75,22.65,12,0
5.54,7.88,9.0,11,0
5.44,10.62,8.0,11,0
5.6,15.78,10.03,14,0
6.88,12.44,11.8,13,0
6.78,16.74,13.34,16,0
7.2,9.83,18.6,14,0
10.54,15.05,9.33,16,0
